filename,score
10107_6390_000000,5.0
10107_6390_000001,5.0
10107_6390_000004,5.0
10107_6390_000005,3.3333333333333335
10107_6390_000007,4.6
10107_6390_000008,4.5
10107_6390_000009,5.0
10107_6390_000010,5.0
10107_6390_000011,5.0
10107_6390_000012,5.0
10107_6390_000014,5.0
10107_6390_000015,5.0
10107_6390_000016,3.0
10107_6390_000017,4.5
10107_6390_000018,5.0
10199_6390_000001,5.0
10199_6390_000002,5.0
10199_6390_000003,5.0
10199_6390_000004,5.0
10199_6390_000005,4.5
10199_6390_000006,5.0
10199_6390_000007,5.0
10199_6390_000008,5.0
10199_6390_000009,4.0
10199_6390_000010,4.333333333333333
10199_6390_000011,4.0
10199_6390_000013,2.0
10199_6390_000014,3.3333333333333335
10199_6390_000015,5.0
10199_6390_000016,4.666666666666667
10199_6390_000018,5.0
10670_10668_000000,5.0
12249_8708_000002,4.5
12249_8708_000003,4.0
12249_8708_000006,3.0
12249_8708_000008,5.0
12249_8708_000010,5.0
12249_8708_000011,5.0
12249_8708_000012,5.0
12249_8708_000013,5.0
12249_8708_000014,5.0
12249_8708_000015,5.0
12249_8708_000017,5.0
12249_8708_000018,5.0
12865_13396_000000,5.0
12865_13396_000001,4.5
12865_13396_000002,5.0
12865_13396_000004,5.0
12865_13396_000007,5.0
12865_13396_000008,4.0
12865_13396_000009,4.666666666666667
12865_13396_000011,4.5
12865_13396_000012,5.0
12865_13396_000013,5.0
12865_13396_000014,5.0
12865_13396_000016,4.0
12865_13396_000017,3.0
12865_13396_000018,3.0
2959_2564_000000,5.0
2959_2564_000003,5.0
2959_2564_000004,5.0
2959_2564_000005,1.0
2959_2564_000006,5.0
2959_2564_000007,5.0
2959_2564_000008,5.0
2959_2564_000009,4.0
2959_2564_000012,5.0
2959_2564_000013,5.0
2959_2564_000015,5.0
2959_2564_000016,4.0
2959_2564_000017,2.0
2959_2564_000018,5.0
2961_2564_000000,3.0
2961_2564_000002,5.0
2961_2564_000004,3.0
2961_2564_000005,5.0
2961_2564_000007,3.5
2961_2564_000008,4.5
2961_2564_000009,3.5
2961_2564_000010,4.0
2961_2564_000011,5.0
2961_2564_000013,4.0
2961_2564_000014,4.5
2961_2564_000015,4.5
2961_2564_000017,4.5
2961_2564_000018,5.0
2961_2564_000019,4.5
3369_2564_000000,4.5
3369_2564_000001,5.0
3369_2564_000002,4.0
3369_2564_000003,4.0
3427_2564_000000,3.0
3814_2564_000001,4.5
3814_2564_000002,2.5
3976_2564_000000,4.0
3976_2564_000001,5.0
3976_2564_000003,5.0
3976_2564_000004,5.0
4367_3648_000001,5.0
4367_3648_000002,5.0
