filepath,mos,condition,db
./data/taco2waveglow/taco2waveglow-GM-0024.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0017.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0018.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0017.wav,3.5,synthesized,taco2waveglow
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_15.wav,3.85,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0010.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0006.wav,4.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0004.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0015.wav,4.5,synthesized,taco2waveglow
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_6.wav,3.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0019.wav,3.0,synthesized,taco2waveglow
./data/ground_truth/ground_truth_msc_d_tunner_taco2waveglow_crime_pe_amaro-0029.wav,4.8,profissional,ground_truth
./data/ground_truth/ground_truth_msc_d_tunner_taco2waveglow_isaura_1310.wav,4.75,profissional,ground_truth
./data/taco2waveglow/taco2waveglow-LU-0005.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0005.wav,2.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0009.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0012.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0001.wav,4.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0009.wav,4.666666666666667,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0008.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0016.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0022.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0002.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0023.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0027.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0015.wav,4.5,synthesized,taco2waveglow
