filepath,mos,condition,db
./data/mls/6207_5270_000010.wav,5.0,librivox,ground_truth
./data/vits/vits_4801-0005.wav,5.0,synthesized,vits
./data/noisy/noise-_input_output_LN_LN_taco2hifigan-LN-0003.wav,2.0,noisy,taco2hifigan
./data/taco2hifigan/taco2hifigan-PE-0024.wav,4.5,synthesized,taco2hifigan
./data/taco2hifigan/taco2hifigan-IR-0016.wav,4.0,synthesized,taco2hifigan
./data/noisy/noise-_input_output_GM_GM_taco2hifigan-GM-0023.wav,1.0,noisy,taco2hifigan
./data/mls/6207_5270_000005.wav,5.0,librivox,ground_truth
./data/mls/6207_5270_000011.wav,4.5,librivox,ground_truth
./data/mls/6700_5323_000002.wav,5.0,librivox,ground_truth
./data/taco2hifigan/taco2hifigan-DR-0010.wav,5.0,synthesized,taco2hifigan
./data/taco2waveglow/taco2waveglow-GM-0024.wav,5.0,synthesized,taco2waveglow
./data/taco2hifigan/taco2hifigan-IR-0009.wav,3.0,synthesized,taco2hifigan
./data/vits/vits_10199-0007.wav,1.0,synthesized,vits
./data/noisy/noise-_input_output_MA_MA_taco2hifigan-MA-0001.wav,1.0,noisy,taco2hifigan
./data/vits/vits_3369-0018.wav,3.0,synthesized,vits
./data/mls/9485_6390_000006.wav,4.0,librivox,ground_truth
./data/noisy/noise-_input_output_DR_DR_taco2hifigan-DR-0007.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_MA_MA_taco2hifigan-MA-0006.wav,1.5,noisy,taco2hifigan
./data/taco2griffinlim/taco2griffin_lim-LN-0022.wav,1.3333333333333333,synthesized,taco2griffinlim
./data/vits/vits_3976-0015.wav,3.0,synthesized,vits
./data/taco2hifigan/taco2hifigan-LU-0023.wav,3.5,synthesized,taco2hifigan
./data/noisy/noise-_input_output_DI_DI_taco2hifigan-DI-0002.wav,1.5,noisy,taco2hifigan
./data/taco2hifigan/taco2hifigan-MA-0020.wav,4.0,synthesized,taco2hifigan
./data/taco2hifigan/taco2hifigan-FN-0004.wav,4.0,synthesized,taco2hifigan
./data/taco2hifigan/taco2hifigan-LN-0012.wav,2.0,synthesized,taco2hifigan
./data/vits/vits_5677-0000.wav,2.6666666666666665,synthesized,vits
./data/taco2hifigan/taco2hifigan-PE-0015.wav,3.0,synthesized,taco2hifigan
./data/taco2waveglow/taco2waveglow-PE-0017.wav,5.0,synthesized,taco2waveglow
./data/vits/vits_4778-0012.wav,5.0,synthesized,vits
./data/taco2hifigan/taco2hifigan-IR-0014.wav,3.0,synthesized,taco2hifigan
./data/taco2hifigan/taco2hifigan-BZ-0020.wav,2.0,synthesized,taco2hifigan
./data/vits/vits_5103-0002.wav,3.0,synthesized,vits
./data/noisy/noise-_input_output_PE_PE_taco2hifigan-PE-0024.wav,2.0,noisy,taco2hifigan
./data/taco2waveglow/taco2waveglow-GS-0018.wav,5.0,synthesized,taco2waveglow
./data/mls/7028_5323_000000.wav,5.0,librivox,ground_truth
./data/noisy/noise-_input_output_DR_DR_taco2hifigan-DR-0028.wav,2.0,noisy,taco2hifigan
./data/taco2waveglow/taco2waveglow-GM-0017.wav,3.5,synthesized,taco2waveglow
./data/ground_truth/ground_truth_pe_isaura_f-0063.wav,5.0,profissional,ground_truth
./data/vits/vits_3976-0000.wav,4.0,synthesized,vits
./data/vits/vits_3427-0009.wav,3.0,synthesized,vits
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_15.wav,3.85,synthesized,taco2waveglow
./data/noisy/noise-_input_output_LI_LI_taco2hifigan-LI-0025.wav,1.0,noisy,taco2hifigan
./data/taco2hifigan/taco2hifigan-RC-0005.wav,2.6666666666666665,synthesized,taco2hifigan
./data/taco2griffinlim/taco2griffin_lim-LN-0018.wav,1.5,synthesized,taco2griffinlim
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0006.wav,2.333333333333333,noisy,taco2hifigan
./data/taco2griffinlim/taco2griffin_lim-BZ-0004.wav,1.0,synthesized,taco2griffinlim
./data/vits/vits_9217-0026.wav,5.0,synthesized,vits
./data/taco2waveglow/taco2waveglow-GS-0010.wav,4.0,synthesized,taco2waveglow
./data/taco2griffinlim/taco2griffin_lim-GM-0012.wav,2.0,synthesized,taco2griffinlim
./data/taco2waveglow/taco2waveglow-GS-0006.wav,4.5,synthesized,taco2waveglow
./data/vits/vits_9351-0023.wav,4.0,synthesized,vits
./data/vits/vits_10670-0007.wav,3.0,synthesized,vits
./data/ground_truth/ground_truth_dr_onu-2012-0001.wav,3.5,profissional,ground_truth
./data/taco2griffinlim/taco2griffin_lim-DR-0011.wav,2.333333333333333,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-BZ-0021.wav,2.5,synthesized,taco2griffinlim
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_1_0.wav,4.0,synthesized,taco_gst2waveglow
./data/vits/vits_5025-0014.wav,4.0,synthesized,vits
./data/vits/vits_5677-0019.wav,4.333333333333333,synthesized,vits
./data/taco2hifigan/taco2hifigan-LI-0008.wav,5.0,synthesized,taco2hifigan
./data/vits/vits_5677-0026.wav,3.6666666666666665,synthesized,vits
./data/noisy/noise-_input_output_RC_RC_taco2hifigan-RC-0013.wav,1.0,noisy,taco2hifigan
./data/taco2waveglow/taco2waveglow-GM-0004.wav,5.0,synthesized,taco2waveglow
./data/taco2griffinlim/taco2griffin_lim-BZ-0028.wav,1.0,synthesized,taco2griffinlim
./data/noisy/noise-_input_output_LN_LN_taco2hifigan-LN-0005.wav,1.0,noisy,taco2hifigan
./data/mls/4367_3648_000004.wav,4.0,librivox,ground_truth
./data/taco2hifigan/taco2hifigan-LN-0003.wav,2.0,synthesized,taco2hifigan
