File,Quality,Inteligibility
noise-_input_output_RC_RC_taco2hifigan-RC-0012.wav,3.10,0.90
noise-_input_output_RC_RC_taco2hifigan-RC-0003.wav,2.49,0.69
noise-_input_output_LN_LN_taco2hifigan-LN-0003.wav,3.76,0.97
noise-_input_output_PE_PE_taco2hifigan-PE-0029.wav,4.33,0.99
noise-_input_output_PE_PE_taco2hifigan-PE-0021.wav,4.11,0.99
noise-_input_output_IR_IR_taco2hifigan-IR-0006.wav,2.92,0.89
noise-_input_output_PE_PE_taco2hifigan-PE-0028.wav,3.84,0.98
noise-_input_output_GM_GM_taco2hifigan-GM-0014.wav,4.13,0.99
noise-_input_output_GS_GS_taco2hifigan-GS-0022.wav,2.99,0.85
noise-_input_output_PE_PE_taco2hifigan-PE-0009.wav,3.63,0.97
noise-_input_output_DI_DI_taco2hifigan-DI-0025.wav,2.69,0.80
noise-_input_output_LI_LI_taco2hifigan-LI-0021.wav,3.17,0.93
noise-_input_output_IR_IR_taco2hifigan-IR-0002.wav,2.48,0.74
noise-_input_output_DI_DI_taco2hifigan-DI-0002.wav,2.78,0.76
noise-_input_output_LN_LN_taco2hifigan-LN-0011.wav,2.45,0.67
noise-_input_output_RC_RC_taco2hifigan-RC-0029.wav,2.84,0.79
noise-_input_output_FN_FN_taco2hifigan-FN-0025.wav,2.85,0.85
noise-_input_output_FN_FN_taco2hifigan-FN-0023.wav,2.99,0.89
noise-_input_output_LN_LN_taco2hifigan-LN-0008.wav,3.40,0.95
noise-_input_output_DR_DR_taco2hifigan-DR-0015.wav,2.97,0.84
noise-_input_output_DI_DI_taco2hifigan-DI-0014.wav,2.79,0.81
noise-_input_output_LN_LN_taco2hifigan-LN-0023.wav,2.73,0.80
noise-_input_output_DI_DI_taco2hifigan-DI-0008.wav,2.63,0.81
noise-_input_output_FN_FN_taco2hifigan-FN-0003.wav,3.04,0.91
noise-_input_output_MA_MA_taco2hifigan-MA-0001.wav,2.94,0.86
noise-_input_output_GM_GM_taco2hifigan-GM-0017.wav,3.20,0.79
noise-_input_output_IR_IR_taco2hifigan-IR-0009.wav,3.51,0.96
noise-_input_output_DR_DR_taco2hifigan-DR-0007.wav,3.19,0.90
noise-_input_output_PE_PE_taco2hifigan-PE-0023.wav,4.09,0.99
noise-_input_output_IR_IR_taco2hifigan-IR-0024.wav,2.95,0.87
noise-_input_output_IR_IR_taco2hifigan-IR-0020.wav,3.31,0.95
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0016.wav,3.19,0.94
noise-_input_output_RC_RC_taco2hifigan-RC-0011.wav,3.02,0.87
noise-_input_output_LU_LU_taco2hifigan-LU-0017.wav,2.98,0.89
noise-_input_output_PE_PE_taco2hifigan-PE-0003.wav,3.33,0.84
noise-_input_output_PE_PE_taco2hifigan-PE-0026.wav,3.69,0.98
noise-_input_output_LN_LN_taco2hifigan-LN-0005.wav,3.45,0.96
noise-_input_output_LU_LU_taco2hifigan-LU-0011.wav,3.12,0.91
noise-_input_output_GM_GM_taco2hifigan-GM-0006.wav,3.82,0.94
noise-_input_output_MA_MA_taco2hifigan-MA-0016.wav,3.34,0.96
noise-_input_output_GS_GS_taco2hifigan-GS-0004.wav,3.59,0.98
noise-_input_output_LI_LI_taco2hifigan-LI-0026.wav,2.57,0.71
noise-_input_output_DI_DI_taco2hifigan-DI-0028.wav,3.87,0.99
noise-_input_output_PE_PE_taco2hifigan-PE-0001.wav,3.89,0.99
noise-_input_output_FN_FN_taco2hifigan-FN-0014.wav,2.15,0.59
noise-_input_output_GM_GM_taco2hifigan-GM-0026.wav,3.84,0.97
noise-_input_output_GM_GM_taco2hifigan-GM-0013.wav,3.63,0.97
noise-_input_output_GS_GS_taco2hifigan-GS-0027.wav,3.43,0.93
noise-_input_output_DR_DR_taco2hifigan-DR-0012.wav,3.65,0.98
noise-_input_output_DI_DI_taco2hifigan-DI-0024.wav,3.55,0.97
noise-_input_output_IR_IR_taco2hifigan-IR-0026.wav,3.76,0.98
noise-_input_output_RC_RC_taco2hifigan-RC-0005.wav,2.81,0.82
noise-_input_output_MA_MA_taco2hifigan-MA-0008.wav,2.73,0.85
noise-_input_output_DR_DR_taco2hifigan-DR-0019.wav,4.10,0.99
noise-_input_output_GS_GS_taco2hifigan-GS-0023.wav,2.97,0.87
noise-_input_output_LU_LU_taco2hifigan-LU-0009.wav,2.87,0.84
noise-_input_output_LU_LU_taco2hifigan-LU-0002.wav,3.47,0.96
